millis,type,message
2805,DEBUG,SD Card init SUCCESS!
2824,WARN,Recovered from SD failure - resets: 5
2856,DEBUG,ext ram fail reset count: 0
2877,INFO,session id: 1808
2887,INFO,reset source: 1
2904,INFO,Device Id: 64609100
2924,INFO,Firmware SHA: 93CE0B95
2942,INFO,MAX_SAMPLE_GAP_S: 3.00
2953,INFO,SPIKE_G_TH: 3.00
2959,INFO,MAX_MESSAGE_LEN_FULL: 301
2967,INFO,MAX_MESSAGE_LEN_BASIC: 51
2975,INFO,MAX_MESSAGE_LEN_SM: 341
2977,INFO,MESSAGE_QUEUE_LEN: 10
2985,INFO,STRICT_NMEA: 1
2990,INFO,MAIN_DECK_HW_VERSION: 6
3002,INFO,F_MIN: 0.03
3006,INFO,F_MAX: 0.80
3022,INFO, sysConfig | sd reset max: 5
3035,INFO, sysConfig | wd enable: 1
3043,INFO, sysConfig | prod log mode: 1
3051,INFO, sysConfig | log filt sd: 1
3059,INFO, sysConfig | log gps sd: 1
3067,INFO, sysConfig | gps log lvl: 0
3076,INFO, sysConfig | log pow sd: 1
3084,INFO, sysConfig | log nmea sd: 1
3092,INFO, sysConfig | log irid sd: 1
3100,INFO, sysConfig | log fft sd: 1
3108,INFO, sysConfig | log spec sd: 0
3117,INFO, sysConfig | log speca sd: 0
3129,INFO, sysConfig | log dre sd: 1
3137,INFO, sysConfig | log message sd: 1
3147,INFO, sysConfig | statistics mode: 1
3155,INFO, sysConfig | log gmn sd: 1
3164,INFO, sysConfig | min messages period basic: 0
3176,INFO, sysConfig | min messages period full: 0
3186,INFO, sysConfig | gps power lvl: 1
3196,INFO, sysConfig | log gmn 1s: 0
3203,INFO, sysConfig | log bin sd: 0
3211,INFO, sysConfig | message samples basic: 2
3223,INFO, sysConfig | self test: 0
3229,INFO, sysConfig | self test reset max: 2
3244,INFO, sysConfig | vis led enable: 1
3254,INFO, sysConfig | log sst sd: 1
3262,INFO, sysConfig | external hardware reset max: 5
3274,INFO, sysConfig | sst sampling period: 1
3284,INFO, sysConfig | sst n samples to avg: 6
3295,INFO, sysConfig | partition thresh bin: 7
3305,INFO, sysConfig | gps sleep enable: 1
3313,INFO, sysConfig | idle checkin period: 0
3323,INFO, sysConfig | bridge enable: 1
3332,INFO, sysConfig | log smdata sd: 1
3581,INFO,External hw available: 00000001
