Date, Water Temperature, Salinity, Pressure, Density, Wave Period, Wave Mean Height, Wave Significant Height, Wind Speed, Wind Gusts, Wind Provenance, Air Temperature, Humidity
2024-06-17T12:30,9.73,22.92,101.7,17.58,3.7,0.5,0.8,24,31,216,12.8,71
2024-06-17T13:00,9.79,22.94,101.659996,17.58,3.7,0.5,0.8,21,26,211,12.7,72
2024-06-17T13:30,9.88,22.95,101.62,17.58,3.7,0.5,0.8,22,27,212,12.7,72
2024-06-17T14:00,9.91,22.96,101.6,17.58,3.6,0.4,0.9,21,29,222,13.1,71
2024-06-17T14:30,9.98,22.93,101.58,17.55,3.7,0.5,0.7,22,29,219,12.8,73
2024-06-17T15:00,10.04,22.94,101.57,17.55,3.4,0.4,0.7,23,30,224,13,72
2024-06-17T15:30,10.04,22.95,101.58,17.56,3.8,0.5,0.8,25,31,227,13.4,69
2024-06-17T16:00,10,22.97,101.55,17.58,3.8,0.6,0.9,28,36,236,13.7,68
2024-06-17T16:30,10.01,22.99,101.5,17.59,3.8,0.7,1,27,34,222,13.9,65
2024-06-17T17:00,10.03,22.99,101.47,17.59,3.8,0.7,1,28,36,228,14.2,64
2024-06-17T17:30,10.03,23,101.479996,17.6,4.1,0.7,1.2,25,31,217,13.7,68
2024-06-17T18:00,10.06,23.01,101.5,17.6,4.3,0.7,1.5,21,26,231,13.3,71
2024-06-17T18:30,10.06,23.02,101.520004,17.61,3.7,0.5,0.7,23,29,233,13.6,69
2024-06-17T19:00,10.08,23.03,101.490005,17.61,3.5,0.4,0.5,20,25,228,13.7,69
2024-06-17T19:30,10.04,22.95,101.46,17.56,3.5,0.4,0.7,17,22,231,14.2,67
2024-06-17T20:00,10.13,22.9,101.43,17.5,3.4,0.4,0.7,16,19,226,13.5,71
2024-06-17T20:30,10.23,22.84,101.409996,17.44,3.1,0.3,0.5,16,20,217,13.2,73
2024-06-17T21:00,10.32,22.79,101.39,17.39,3,0.2,0.4,14,17,215,12.4,77
2024-06-17T21:30,10.31,22.71,101.38,17.33,3,0.3,0.5,14,17,224,12.4,78
2024-06-17T22:00,10.23,22.76,101.37,17.38,3.1,0.2,0.5,16,20,230,13.1,75
2024-06-17T22:30,10.25,22.72,101.39,17.35,2.8,0.1,0.3,11,14,222,13.1,76
2024-06-17T23:00,10.2,22.75,101.38,17.38,3.2,0.1,0.3,16,19,218,13,77
2024-06-17T23:30,10.24,22.77,101.37,17.39,3.1,0.1,0.2,19,22,214,13.6,77
2024-06-18T00:00,10.24,22.77,101.37,17.39,3.3,0.2,0.3,20,24,215,13.6,77
2024-06-18T00:30,10.08,22.79,101.37,17.43,3.1,0.3,0.5,26,32,225,13.7,79
2024-06-18T01:00,10.08,22.78,101.409996,17.42,3,0.3,0.4,20,26,214,13.2,82
2024-06-18T01:30,10.09,22.77,101.4,17.41,2.9,0.2,0.4,19,24,202,13.6,82
2024-06-18T02:00,10.11,22.77,101.39,17.41,3.4,0.3,0.7,20,24,197,13.5,82
2024-06-18T02:30,10.11,22.75,101.38,17.39,3.2,0.3,0.5,19,23,198,14,81
2024-06-18T03:00,10.1,22.73,101.44,17.38,3.6,0.5,0.8,17,22,202,12.9,83
2024-06-18T03:30,10.13,22.69,101.43,17.35,3.3,0.4,0.6,18,22,201,13.5,81
2024-06-18T04:00,10.13,22.68,101.479996,17.33,3.2,0.4,0.6,13,16,197,12.7,84
2024-06-18T04:30,10.15,22.64,101.47,17.3,3.2,0.4,0.7,14,18,202,12.6,85
2024-06-18T05:00,10.19,22.63,101.490005,17.28,3.2,0.3,0.4,13,18,200,12.4,85
2024-06-18T05:30,10.26,22.58,101.520004,17.24,3.1,0.3,0.4,15,19,218,12.7,85
2024-06-18T06:00,10.25,22.43,101.53,17.13,3.1,0.2,0.4,16,19,221,13.3,85
2024-06-18T06:30,10.25,22.34,101.55,17.05,3.2,0.3,0.5,16,19,214,13.3,84
2024-06-18T07:00,10.3,22.3,101.520004,17.01,3.4,0.3,0.5,16,18,206,12.9,85
2024-06-18T07:30,10.28,22.37,101.55,17.07,3.4,0.4,0.6,16,18,211,12.6,87
2024-06-18T08:00,10.21,22.54,101.62,17.21,3.3,0.4,0.7,19,24,211,12.4,87
2024-06-18T08:30,10.09,22.69,101.67,17.35,3.4,0.4,0.6,17,20,226,12,87
2024-06-18T09:00,9.99,23.08,101.63,17.67,3.3,0.4,0.8,14,18,216,12.4,87
2024-06-18T09:30,10.11,22.88,101.65,17.49,3.2,0.3,0.5,13,15,228,12.8,88
2024-06-18T10:00,10.27,22.25,101.65,16.98,3.3,0.3,0.4,12,14,210,13,88
2024-06-18T10:30,10.2,22.18,101.7,16.93,3.4,0.2,0.6,9,12,215,13.1,89
2024-06-18T11:00,10.05,22.62,101.770004,17.3,3.3,0.2,0.3,16,18,237,12.9,89
2024-06-18T11:30,10.09,23,101.82,17.59,3.1,0.2,0.4,12,14,208,12.8,88
2024-06-18T12:00,10.13,23.18,101.83,17.73,3.2,0.2,0.3,15,17,192,12.2,88
2024-06-18T12:30,10.11,23.29,101.86,17.81,3.1,0.2,0.4,17,20,190,12.3,88
2024-06-18T13:00,10.17,23.33,101.86,17.83,3,0.2,0.4,18,22,204,13.4,87
2024-06-18T13:30,10.34,23.33,101.9,17.81,3,0.2,0.4,14,17,191,12.8,87
2024-06-18T14:00,10.36,23.38,101.9,17.84,2.9,0.2,0.4,14,17,207,13.1,88
2024-06-18T14:30,10.48,23.26,101.9,17.73,2.9,0.2,0.3,12,16,222,13.5,87
2024-06-18T15:00,10.3,23.21,101.93,17.72,2.9,0.2,0.3,12,14,221,13.2,88
2024-06-18T15:30,10.52,22.7,101.840004,17.29,3,0.2,0.3,6,8,183,13.7,88
2024-06-18T16:00,10.99,22.27,101.89,16.89,2.9,0.2,0.2,8,11,250,14.1,87
2024-06-18T16:30,11.2,21.96,101.83,16.61,2.8,0.1,0.2,14,17,204,14.4,88
2024-06-18T17:00,11.25,21.8,101.82,16.48,3,0.1,0.2,14,17,200,14.5,88
2024-06-18T17:30,11.77,21.78,101.78,16.39,2.8,0.1,0.2,14,16,185,15.6,87
2024-06-18T18:00,12.29,22.09,101.75,16.54,3.1,0.1,0.3,6,8,180,16.4,86
2024-06-18T18:30,11.83,21.98,101.759995,16.53,3.1,0.2,0.3,6,8,155,16.9,84
2024-06-18T19:00,12.61,21.94,101.759995,16.37,3.1,0.2,0.4,6,8,167,17.5,85
2024-06-18T19:30,12.42,21.6,101.759995,16.14,3.2,0.2,0.3,10,11,180,17.6,84
2024-06-18T20:00,11.86,21.59,101.759995,16.22,3.1,0.2,0.3,8,11,153,18.4,83
2024-06-18T20:30,12.14,21.48,101.75,16.1,2.8,0.2,0.3,13,15,117,16,84
2024-06-18T21:00,12.47,21.55,101.72,16.09,2.8,0.1,0.2,15,17,128,16.1,86
2024-06-18T21:30,11.74,21.61,101.729996,16.26,2.7,0.1,0.2,12,14,105,16.5,84
2024-06-18T22:00,11.6,21.73,101.71,16.38,2.7,0.1,0.2,12,15,100,16.2,84
2024-06-18T22:30,11.19,21.71,101.69,16.42,3,0.1,0.4,12,14,108,16.1,86
2024-06-18T23:00,10.7,22.1,101.65,16.8,0,0,0,8,10,92,15.4,84
2024-06-18T23:30,10.34,22.49,101.659996,17.16,0,0,0,9,10,104,17.2,83
2024-06-19T00:00,10.39,22.94,101.659996,17.5,0,0,0,1,2,66,17,84
2024-06-19T00:30,10.29,23.17,101.69,17.69,0,0,0,10,11,328,14.8,83
2024-06-19T01:00,10.54,23.08,101.71,17.58,0,0,0,11,12,309,13.5,87
2024-06-19T01:30,10.28,23.36,101.729996,17.84,0,0,0,9,10,350,14,89
2024-06-19T02:00,10.24,23.42,101.68,17.9,0,0,0,11,13,90,14.5,88
2024-06-19T02:30,10.2,23.5,101.69,17.96,0,0,0,3,4,6,15.5,84
2024-06-19T03:00,10.56,22.77,101.69,17.34,4.2,0.1,0.2,10,11,226,16.2,90
2024-06-19T03:30,10.19,22.76,101.729996,17.38,0,0,0,14,17,236,15.4,83
2024-06-19T04:00,10.01,22.97,101.72,17.58,4.8,0.1,0.1,16,19,187,13.8,86
2024-06-19T04:30,9.94,22.82,101.7,17.47,0,0,0,11,13,247,14,87
2024-06-19T05:00,9.76,23.01,101.68,17.65,0,0,0,9,11,190,13.1,87
2024-06-19T05:30,10.09,23.07,101.68,17.64,2.6,0.1,0.4,15,19,212,13.9,88
2024-06-19T06:00,10.38,23.19,101.68,17.69,2.9,0.2,0.5,22,28,204,15,87
2024-06-19T06:30,10.23,23.32,101.68,17.81,2.8,0.2,0.5,21,28,215,14.9,87
2024-06-19T07:00,10.46,23.38,101.69,17.83,2.9,0.2,0.4,19,25,207,15.2,86
2024-06-19T07:30,10.35,23.52,101.69,17.95,2.9,0.3,0.6,25,31,203,16.7,86
2024-06-19T08:00,10.24,23.66,101.72,18.08,3,0.3,0.5,19,25,213,14.8,89
2024-06-19T08:30,10.22,23.8,101.71,18.19,3.1,0.3,0.5,26,32,208,15.6,90
2024-06-19T09:00,10.6,23.8,101.729996,18.14,3.1,0.4,0.6,22,28,198,14.9,90
2024-06-19T09:30,10.68,23.9,101.75,18.2,3.2,0.3,0.6,26,32,206,14.8,89
2024-06-19T10:00,10.74,23.94,101.79,18.22,3,0.3,0.6,23,31,205,15,90
2024-06-19T10:30,10.69,24.01,101.83,18.29,3,0.4,0.8,23,28,198,15.1,87
2024-06-19T11:00,10.48,24.05,101.840004,18.35,3.9,0.6,1.1,24,30,214,14.9,89
2024-06-19T11:30,10.15,23.95,101.82,18.32,3.8,0.7,1.2,26,32,216,14.7,89
2024-06-19T12:00,9.47,23.99,101.83,18.45,3.7,0.7,1.3,27,33,218,15.1,90
2024-06-19T12:30,9.82,23.85,101.82,18.29,3.9,0.8,1.1,28,35,218,15.8,87
2024-06-19T13:00,10.56,24.04,101.79,18.32,3.5,0.8,1.2,30,36,224,16,88
2024-06-19T13:30,10.77,24.26,101.759995,18.46,3.9,0.7,1.3,33,40,225,16.4,88
2024-06-19T14:00,11.03,24.29,101.740005,18.45,3.8,0.8,1.3,34,44,224,16.5,88
2024-06-19T14:30,10.95,24.03,101.7,18.26,3.9,0.8,1.3,39,47,226,17,88
2024-06-19T15:00,10.93,24.01,101.68,18.24,3.7,0.8,1.3,33,42,230,16.3,87
2024-06-19T15:30,10.89,24.12,101.67,18.34,3.6,0.8,1.5,34,45,233,16.3,88
2024-06-19T16:00,10.99,24.19,101.65,18.38,3.9,0.9,1.6,33,42,230,16.4,87
2024-06-19T16:30,11.07,24.15,101.62,18.33,4.2,0.9,1.4,32,45,228,16,86
2024-06-19T17:00,10.85,24.15,101.57,18.37,4.1,1,2.1,37,46,232,16.7,87
2024-06-19T17:30,10.77,24.09,101.55,18.34,4.1,0.9,1.4,35,45,229,17.4,83
2024-06-19T18:00,10.82,24.08,101.509995,18.31,4,1,1.7,33,44,233,17.1,83
2024-06-19T18:30,10.8,24.05,101.43,18.29,4.2,1,1.6,35,44,232,17.5,84
2024-06-19T19:00,11.07,24.12,101.43,18.31,4,0.9,1.4,33,44,240,17.4,83
2024-06-19T19:30,10.9,24.11,101.39,18.32,4.2,1,1.5,33,42,239,17.2,83
