# STATION iml-4
# YEARS   2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024

Parameter,                min,       max,       mean,      std,       set size
Air Temperature,          -9.9655,   28.6559,   9.3452,    3.8621,    145083
Humidity,                 nan,       nan,       nan,       nan,       0
Density,                  1011.7474, 1029.7841, 1020.7657, 1.8037,    133078
Pressure,                 97.4588,   105.2337,  101.3462,  0.7775,    145077
Salinity,                 15.6724,   37.007,    26.3397,   2.1335,    144258
Water Temperature,        0,         22.9008,   7.7673,    3.0267,    145309
Wind Speed,               0,         33.4854,   8.8854,    4.92,      144429
Wind Gusts,               0,         43.6664,   11.3103,   6.4712,    144646
Wind Provenance,          0,         360,       nan,       nan,       0
Wave Significant Height,  0.02,      3.7127,    0.6785,    0.6068,    142909
Wave Period,              1.25,      17.8905,   2.835,     1.5055,    144002
Wave Mean Direction,      0,         360,       nan,       nan,       0
Wave Peak Direction,      0,         360,       nan,       nan,       0
Wave Mean Spreading,      0,         80,        nan,       nan,       0
Wave Peak Spreading,      0,         80,        nan,       nan,       0
